Question Input,Correct Answer,
Which university does Sergio Paniego currently assist at?,Universidad Rey Juan Carlos,
What subject is Sergio Paniego a teaching assistant for?,Artificial Intelligence,
In which years did Sergio Paniego assist in teaching Artificial Intelligence?,I don't know,
What other subject is Sergio Paniego a teaching assistant for?,Robotics,
Where was the course 'Introduction to Coding' taught by Sergio Paniego?,ISDI,
When was the course 'Introduction to Artificial Intelligence' held?,November 2023,search web
Which institution hosted the 'Introduction to Programming with Python' course?,Atenea Formación,
What is the name of the conference where Sergio Paniego spoke about 'RL-Studio: A Tool for Reinforcement Learning Methods in Robotics'?,ROBOT 2022 Conference,
What is the topic of Enrique Y. Shinohara Soto's master thesis directed by Sergio Paniego?,Autonomous driving in traffic using end-to-end deep learning,
Which journal did Sergio Paniego review for in 2023?,Expert Systems,
Where is the 'Vision based end-to-end autonomous driving via imitation learning' talk held?,"Master in Artificial Vision, URJC, Madrid",
Which course involves 'Object detection and segmentation with TensorFlow'?,A course taught at Platzi in July 2022,
Where and when did Sergio Paniego talk about combining video games with ChatGPT?,"UbuParty, Burgos, September 2023",
What is the full title of the course 'Introduction to Artificial Intelligence and its Applications'?,Introduction to Artificial Intelligence and its Applications,
Did Sergio Paniego teach Artificial Intelligence in 2022?,Yes,
Did Sergio Paniego teach Robotics in 2022?,Yes,
What degree level are the subjects Artificial Intelligence and Robotics taught at?,3rd year,
Which educational program is the 'Introduction to Coding' course part of?,"DMBA, MBA",
Which month and year was the 'Object detection and segmentation with TensorFlow' course taught?,July 2022,
Who is the student supervised by Sergio Paniego for a master thesis in 2023?,Enrique Y. Shinohara Soto,
Did Sergio Paniego teach Artificial Intelligence in 2023?,Yes,
Did Sergio Paniego teach Robotics in 2023?,Yes,
What are his research interests?,I don't know,
Does he have teaching experience?,Yes,
Does he know about Tensorflow?,Yes,